2022-01-11 10:50:04,025 - INFO     - server - Сервер запущен: ip-адрес для подключений: , номер порта для подключений: 7777
2022-01-11 10:53:33,990 - DEBUG    - decos - Вызов функции check_msg из модуля __main__. Эта функция вызвана с параметрами (<__main__.ServSock object at 0x00000258F2CFE730>, {'action': 'presence', 'time': 1641887612.9776728, 'user': {'name_account': 'client1'}}, [], <socket.socket fd=480, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 54005)>, [<socket.socket fd=476, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 54004)>, <socket.socket fd=480, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 54005)>, <socket.socket fd=484, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 54006)>], {'client2': <socket.socket fd=476, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 54004)>, 'client3': <socket.socket fd=484, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 54006)>, 'client1': <socket.socket fd=480, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 54005)>}), {}. Функция check_msg вызывается из функции server.server_connect() 
2022-01-11 10:53:40,037 - INFO     - server - Клиент ('127.0.0.1', 54005) отключен от сервера.
2022-01-11 11:03:53,720 - INFO     - server - Сервер запущен: ip-адрес для подключений: , номер порта для подключений: 7777
2022-01-11 11:04:18,025 - DEBUG    - server - Сервер в ожидании клиента
2022-01-11 11:04:59,409 - INFO     - server - Сервер запущен: ip-адрес для подключений: , номер порта для подключений: 7777
2022-01-11 11:05:23,037 - DEBUG    - server - Сервер в ожидании клиента
2022-01-11 11:05:57,872 - INFO     - server - Сервер запущен: ip-адрес для подключений: , номер порта для подключений: 7777
2022-01-11 11:05:57,872 - DEBUG    - server - Сервер в ожидании клиента
2022-01-11 11:07:40,732 - INFO     - server - Сервер запущен: ip-адрес для подключений: , номер порта для подключений: 7777
2022-01-11 11:07:40,733 - DEBUG    - server - Сервер в ожидании клиента
2022-01-11 11:07:40,754 - DEBUG    - server - Сервер соединен с клиентом ('127.0.0.1', 54511)
2022-01-11 11:07:41,223 - DEBUG    - server - Сервер соединен с клиентом ('127.0.0.1', 54509)
2022-01-11 11:07:41,224 - DEBUG    - decos - Вызов функции recieve_msg из модуля common.utils. Эта функция вызвана с параметрами (<socket.socket fd=308, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 54511)>,), {}. Функция recieve_msg вызывается из функции server.server_connect() 
2022-01-11 11:07:41,224 - DEBUG    - server - Разбор сообщения от клиента {'action': 'presence', 'time': 1641888460.7545173, 'user': {'name_account': 'client2'}}.
2022-01-11 11:07:41,224 - DEBUG    - decos - Вызов функции send_msg из модуля common.utils. Эта функция вызвана с параметрами (<socket.socket fd=308, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 54511)>, {'response': 200}), {}. Функция send_msg вызывается из функции server.server_connect() 
2022-01-11 11:07:41,224 - DEBUG    - decos - Вызов функции check_msg из модуля __main__. Эта функция вызвана с параметрами (<__main__.ServSock object at 0x00000152845204C0>, {'action': 'presence', 'time': 1641888460.7545173, 'user': {'name_account': 'client2'}}, [], <socket.socket fd=308, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 54511)>, [<socket.socket fd=308, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 54511)>, <socket.socket fd=392, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 54509)>], {'client2': <socket.socket fd=308, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 54511)>}), {}. Функция check_msg вызывается из функции server.server_connect() 
2022-01-11 11:07:41,239 - DEBUG    - server - Сервер соединен с клиентом ('127.0.0.1', 54510)
2022-01-11 11:07:41,239 - DEBUG    - decos - Вызов функции recieve_msg из модуля common.utils. Эта функция вызвана с параметрами (<socket.socket fd=392, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 54509)>,), {}. Функция recieve_msg вызывается из функции server.server_connect() 
2022-01-11 11:07:41,240 - DEBUG    - server - Разбор сообщения от клиента {'action': 'presence', 'time': 1641888461.2232633, 'user': {'name_account': 'client3'}}.
2022-01-11 11:07:41,240 - DEBUG    - decos - Вызов функции send_msg из модуля common.utils. Эта функция вызвана с параметрами (<socket.socket fd=392, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 54509)>, {'response': 200}), {}. Функция send_msg вызывается из функции server.server_connect() 
